День,Фаджр,Восход,Зухр,Аср,Магриб,Иша
1,6:39,8:24,12:56,15:08,17:27,19:06
2,6:40,8:25,12:56,15:08,17:26,19:06
3,6:41,8:26,12:56,15:08,17:26,19:06
4,6:42,8:27,12:57,15:07,17:26,19:05
5,6:43,8:29,12:57,15:07,17:26,19:05
6,6:44,8:30,12:58,15:07,17:25,19:05
7,6:45,8:31,12:58,15:07,17:25,19:05
8,6:46,8:32,12:58,15:07,17:25,19:05
9,6:46,8:33,12:59,15:07,17:25,19:05
10,6:47,8:34,12:59,15:07,17:25,19:05
11,6:48,8:34,13:00,15:07,17:25,19:06
12,6:49,8:35,13:00,15:07,17:25,19:06
13,6:50,8:36,13:01,15:08,17:25,19:06
14,6:50,8:37,13:01,15:08,17:25,19:06
15,6:51,8:38,13:02,15:08,17:26,19:06
16,6:52,8:38,13:02,15:08,17:26,19:07
17,6:52,8:39,13:03,15:09,17:26,19:07
18,6:53,8:40,13:03,15:09,17:26,19:07
19,6:54,8:40,13:04,15:09,17:27,19:08
20,6:54,8:41,13:04,15:10,17:27,19:08
21,6:55,8:42,13:05,15:10,17:28,19:09
22,6:55,8:42,13:05,15:11,17:28,19:09
23,6:56,8:43,13:06,15:11,17:29,19:10
24,6:56,8:43,13:06,15:12,17:29,19:10
25,6:57,8:43,13:07,15:12,17:30,19:11
26,6:57,8:44,13:07,15:13,17:31,19:12
27,6:57,8:44,13:08,15:14,17:31,19:12
28,6:58,8:44,13:08,15:14,17:32,19:13
29,6:58,8:45,13:09,15:15,17:33,19:14
30,6:58,8:45,13:09,15:16,17:34,19:14
31,6:58,8:45,13:10,15:17,17:34,19:15
